title,company,description,requirements,location,work_mode,experience,employment_type,source_url,apply_url,skills,role,posted_at,external_id
Power BI Developer (SAMPLE DEMO),Accenture,"[SAMPLE DEMO] Build Power BI dashboards, semantic models, and stakeholder reports for business units. Not a live career-site scrape.","SQL, dashboards, stakeholder communication",Bengaluru Karnataka India,hybrid,2-4 years,full_time,https://careers.example.com/sample/power-bi-accenture,https://careers.example.com/sample/apply/power-bi-accenture,SQL;Python,Data Analyst,2026-09-01,phase11-pbi-accenture
Cloud Engineer (SAMPLE DEMO),Capgemini,"[SAMPLE DEMO] Operate AWS/Azure landing zones, IAM baselines, and network guardrails. Sample posting for platform demos.","AWS or Azure, Linux, networking, IaC basics",Hyderabad Telangana India,hybrid,3-5 years,full_time,https://careers.example.com/sample/cloud-capgemini,https://careers.example.com/sample/apply/cloud-capgemini,AWS;Linux;Docker;Azure,Cloud Engineer,2026-09-01,phase11-cloud-capgemini
AWS Data Engineer (SAMPLE DEMO),Infosys,"[SAMPLE DEMO] Build lakehouse pipelines on AWS with Python, SQL, Spark, and Glue/EMR-style workloads. Demo catalog entry.","Python, SQL, AWS, Spark",Pune Maharashtra India,hybrid,3-6 years,full_time,https://careers.example.com/sample/aws-de-infosys,https://careers.example.com/sample/apply/aws-de-infosys,Python;SQL;AWS;Spark,Data Engineer,2026-09-02,phase11-aws-de-infosys
SQL Developer (SAMPLE DEMO),TCS,"[SAMPLE DEMO] Design schemas, tune queries, and support analytics marts in PostgreSQL/SQL Server. Sample demo job.","SQL, indexing, query plans, ETL basics",Chennai Tamil Nadu India,onsite,2-5 years,full_time,https://careers.example.com/sample/sql-tcs,https://careers.example.com/sample/apply/sql-tcs,SQL,SQL Developer,2026-09-02,phase11-sql-tcs
DevOps Engineer (SAMPLE DEMO),Cognizant,"[SAMPLE DEMO] Own CI/CD, container platforms, and Terraform modules for product teams. Clearly labeled sample.","Linux, Docker, Kubernetes, Terraform, AWS",Remote India,remote,4-7 years,full_time,https://careers.example.com/sample/devops-cognizant,https://careers.example.com/sample/apply/devops-cognizant,Linux;Docker;Kubernetes;Terraform;AWS,DevOps Engineer,2026-09-03,phase11-devops-cognizant
SOC Analyst (SAMPLE DEMO),Deloitte,"[SAMPLE DEMO] Triage SIEM alerts, document incidents, and escalate per runbooks. Sample demo posting only.","SOC, SIEM, IAM basics, incident response",Mumbai Maharashtra India,onsite,1-3 years,full_time,https://careers.example.com/sample/soc-deloitte,https://careers.example.com/sample/apply/soc-deloitte,SOC;IAM;Incident Response;Linux,SOC Analyst,2026-09-03,phase11-soc-deloitte
GenAI Engineer (SAMPLE DEMO),Capgemini,"[SAMPLE DEMO] Build RAG assistants and tool-calling agents with evaluation harnesses. Sample demo role.","Python, RAG, Prompt Engineering, Agents",Remote,remote,3-5 years,full_time,https://careers.example.com/sample/genai-capgemini,https://careers.example.com/sample/apply/genai-capgemini,Python;RAG;Prompt Engineering;Agents,GenAI Engineer,2026-09-04,phase11-genai-capgemini
Python Developer (SAMPLE DEMO),Infosys,"[SAMPLE DEMO] Deliver backend APIs with Python, REST, and PostgreSQL. Sample catalog job for demos.","Python, SQL, REST, testing",Hyderabad Telangana India,onsite,2-4 years,full_time,https://careers.example.com/sample/python-infosys,https://careers.example.com/sample/apply/python-infosys,Python;SQL,Python Developer,2026-09-04,phase11-python-infosys
Data Analyst (SAMPLE DEMO),Accenture,"[SAMPLE DEMO] Analyze business datasets with SQL and dashboards; publish weekly insights. Sample demo posting.","SQL, Python, stakeholder storytelling",Bengaluru Karnataka India,hybrid,2-4 years,full_time,https://careers.example.com/sample/da-accenture,https://careers.example.com/sample/apply/da-accenture,SQL;Python,Data Analyst,2026-09-05,phase11-da-accenture
Data Engineer (SAMPLE DEMO),Wipro,"[SAMPLE DEMO] Build batch/stream pipelines with Python, SQL, Spark, and cloud object storage. Sample demo.","Python, SQL, Spark, AWS or Azure",Noida Uttar Pradesh India,hybrid,3-5 years,full_time,https://careers.example.com/sample/de-wipro,https://careers.example.com/sample/apply/de-wipro,Python;SQL;Spark;AWS,Data Engineer,2026-09-05,phase11-de-wipro
Cybersecurity Analyst (SAMPLE DEMO),HCLTech,"[SAMPLE DEMO] Support vulnerability management, IAM reviews, and cloud security baselines. Sample.","IAM, SOC, Incident Response, Linux",Remote India,remote,2-5 years,full_time,https://careers.example.com/sample/cyber-hcl,https://careers.example.com/sample/apply/cyber-hcl,IAM;SOC;Incident Response;Linux,SOC Analyst,2026-09-05,phase11-cyber-hcl
Snowflake Analytics Engineer (SAMPLE DEMO),LTIMindtree,"[SAMPLE DEMO] Model warehouse marts in Snowflake and partner with analysts on trusted datasets. Sample demo.","SQL, Snowflake, Data Warehousing, Python",Pune Maharashtra India,hybrid,3-6 years,full_time,https://careers.example.com/sample/snowflake-lti,https://careers.example.com/sample/apply/snowflake-lti,SQL;Snowflake;Python;Data Warehousing,Data Engineer,2026-09-05,phase11-snowflake-lti
