title,company,description,requirements,location,city,state,country,work_mode,employment_type,experience,source_url,apply_url,skills,role,posted_at,external_id,listing_type
Senior Database Operations Engineer,Crunchyroll,"Maintain and enhance reliability of data infrastructure for Crunchyroll. Collaborate with data and software engineers on automation, monitoring, and AWS datastore operations. Curated from official Greenhouse posting.","AWS RDS Aurora DynamoDB Python monitoring IaC",Hyderabad Telangana India,Hyderabad,Telangana,India,hybrid,full_time,8+ years,https://boards.greenhouse.io/crunchyroll/jobs/8026651,https://boards.greenhouse.io/crunchyroll/jobs/8026651,AWS;Python;SQL,Data Engineer,2026-07-07,gh-crunchyroll-8026651,real
Senior MLOps Engineer,Crunchyroll,"Build ML infrastructure and CI/CD for model training deployment and monitoring using AWS SageMaker Databricks Kubernetes and Docker. Curated from official Greenhouse posting.","Python AWS SageMaker Databricks Docker Kubernetes MLflow",Hyderabad Telangana India,Hyderabad,Telangana,India,hybrid,full_time,8+ years,https://boards.greenhouse.io/crunchyroll/jobs/7990093,https://boards.greenhouse.io/crunchyroll/jobs/7990093,Python;AWS;Docker;Kubernetes;Agents,GenAI Engineer,2026-06-12,gh-crunchyroll-7990093,real
Head of Data (Data Engineering + Machine Learning),Easyship,"Lead data strategy infrastructure and AI initiatives across analytics and engineering in Bengaluru. Curated from official Greenhouse posting.","Data strategy AI/ML GCP BigQuery team leadership",Bengaluru Karnataka India,Bengaluru,Karnataka,India,onsite,full_time,7+ years,https://boards.greenhouse.io/easyship/jobs/4695422006,https://boards.greenhouse.io/easyship/jobs/4695422006,Python;SQL;AWS,Data Engineer,2026-07-09,gh-easyship-4695422006,real
Senior Data Analyst,Coupang,"Use SQL Python and ETL practices to support retail selection analytics pricing and inventory health. Curated from official Greenhouse posting.","SQL Python ETL Airflow analytics",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,4+ years,https://boards.greenhouse.io/coupanginternal/jobs/8063943,https://boards.greenhouse.io/coupanginternal/jobs/8063943,SQL;Python;Airflow,Data Analyst,2026-07-15,gh-coupang-8063943,real
Staff Engineer Backend (Streaming Fraud Platform),Coupang,"Lead architecture for real-time fraud detection using streaming data Kafka and Flink-style processing. Curated from official Greenhouse posting.","Java Kafka Flink Cassandra distributed systems",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,10-13 years,https://boards.greenhouse.io/coupanginternal/jobs/7988275,https://boards.greenhouse.io/coupanginternal/jobs/7988275,Python;AWS;Kafka,Data Engineer,2026-06-18,gh-coupang-7988275,real
Senior Staff Backend Engineer Kubernetes,Coupang,"Guide platform teams building scalable infrastructure with AWS Kubernetes Kafka and related services. Curated from official Greenhouse posting.","Java Go Python AWS EKS Kubernetes Kafka",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,12+ years,https://boards.greenhouse.io/coupanginternal/jobs/7912288,https://boards.greenhouse.io/coupanginternal/jobs/7912288,AWS;Kubernetes;Docker;Linux,DevOps Engineer,2026-07-28,gh-coupang-7912288,real
Data Engineer,Capital TG,"Design build and maintain scalable ETL/ELT pipelines with Python Spark dbt SQL and AWS Glue. Curated from official Greenhouse posting.","Python Spark SQL dbt AWS Glue Airflow",Remote,Remote,,India,remote,full_time,4+ years,https://boards.greenhouse.io/capitaltg/jobs/5195583007,https://boards.greenhouse.io/capitaltg/jobs/5195583007,Python;SQL;Spark;AWS;Airflow,Data Engineer,2026-07-27,gh-capitaltg-5195583007,real
Senior Data Engineer Snowflake,Brillio,"Snowflake data engineer role focused on warehouse development Matillion/ETL AWS SQL and Python. Curated from official Lever posting.","Snowflake SQL Python AWS ETL data modeling",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,4-6 years,https://jobs.lever.co/brillio-2/ec5351fd-fb8e-4d9c-886d-0ce3cbd14477,https://jobs.lever.co/brillio-2/ec5351fd-fb8e-4d9c-886d-0ce3cbd14477,Snowflake;SQL;Python;AWS,Data Engineer,2026-09-01,lever-brillio-ec5351fd,real
Senior Data Engineer Snowflake Multi-city,Brillio,"Snowflake cloud data platform pipelines across Bengaluru Pune Hyderabad Chennai Gurgaon. Curated from official Lever posting.","Snowflake SQL Python AWS",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,2-6 years,https://jobs.lever.co/brillio-2/ca5ca664-d24b-4454-89aa-8203a40f6773,https://jobs.lever.co/brillio-2/ca5ca664-d24b-4454-89aa-8203a40f6773,Snowflake;SQL;Python;AWS,Data Engineer,2026-09-01,lever-brillio-ca5ca664,real
Lead Data Engineer Azure,Brillio,"Lead Azure analytics pipelines using ADF Synapse Spark Delta Lake and Power BI modeling. Curated from official Lever posting.","Azure Data Factory Synapse Spark SQL Power BI",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,4-6 years,https://jobs.lever.co/brillio-2/02991d5c-a23d-46f4-b94e-ef31d9d98779,https://jobs.lever.co/brillio-2/02991d5c-a23d-46f4-b94e-ef31d9d98779,Python;SQL;Spark;Azure,Data Engineer,2026-09-01,lever-brillio-02991d5c,real
Principal Data Engineer AWS,Brillio,"Advanced AWS data engineering and large-scale data solutions including MDM. Curated from official Lever posting.","AWS SQL Python data modeling MDM",Hyderabad Telangana India,Hyderabad,Telangana,India,hybrid,full_time,7-10 years,https://jobs.lever.co/brillio-2/9c9dfbc6-5ded-44eb-b1c5-db7b70cb5cdf,https://jobs.lever.co/brillio-2/9c9dfbc6-5ded-44eb-b1c5-db7b70cb5cdf,AWS;SQL;Python,Data Engineer,2026-09-01,lever-brillio-9c9dfbc6,real
Lead Snowflake Engineer,Brillio,"Lead Snowflake engineering across multi-city India locations with warehousing and ELT focus. Curated from official Lever posting.","Snowflake SQL Python ELT data warehousing",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,8+ years,https://jobs.lever.co/brillio-2/f74a7931-877e-427f-ac47-2b8d6cb54ed1,https://jobs.lever.co/brillio-2/f74a7931-877e-427f-ac47-2b8d6cb54ed1,Snowflake;SQL;Python,Data Engineer,2026-09-01,lever-brillio-f74a7931,real
Full Stack Engineer Internal Audit,Cloudflare,"Build internal audit platforms and data-driven workflows in Bengaluru partnering with data engineering. Curated from official Greenhouse posting.","Python React SQL APIs cloud-native",Bengaluru Karnataka India,Bengaluru,Karnataka,India,hybrid,full_time,5+ years,https://boards.greenhouse.io/cloudflare/jobs/8014902,https://boards.greenhouse.io/cloudflare/jobs/8014902,Python;SQL;AWS,Python Developer,2026-09-01,gh-cloudflare-8014902,real
